BenchMark,Predicted_benign,Actual_benign,Predicted_crash,Actual_crash,Predicted_SDC,Actual_SDC,MSE_benign,MSE_crash,MSE_SDC
IS,0.71,0.615,0.195,0.359,0.103,0.252,0.0090,0.0269,0.0222
LU,0.698,0.456,0.152,0.331,0.150,0.557,0.0586,0.0320,0.1656
Nn,0.847,0.331,0.323,0.468,0.0,0.554,0.2663,0.0210,0.3069
Myocyte,0.707,0.793,0.270,0.301,0.023,0.047,0.0074,0.0010,0.0006
Backprop,0.528,0.649,0.361,0.468,0.111,0.027,0.0146,0.0114,0.0071
CG,0.704,0.789,0.149,0.052,0.147,0.44,0.0072,0.0094,0.0858
MG,0.640,0.874,0.351,0.245,0.009,0.0,0.0548,0.0112,0.0001
BT,0.606,0.621,0.371,0.177,0.252,0.523,0.0002,0.0376,0.0734
SP,0.656,0.071,0.142,0.457,0.255,1.0,0.3422,0.0992,0.5550
DC,0.690,0.462,0.396,0.571,0.0,0.174,0.0520,0.0306,0.0303
Lud,0.669,0.832,0.195,0.0,0.135,0.45,0.0266,0.0380,0.0992
Kmeans,0.712,1.0,0.195,0.03,0.093,0.124,0.0830,0.0272,0.0010
STREAM,0.611,0.757,0.195,0.245,0.194,0.195,0.0213,0.0025,0.0000
Blackscholes,0.571,0.635,0.226,0.253,0.203,0.383,0.0041,0.0007,0.0324
PuReMD,0.610,0.0,0.487,1.0,0.021,0.275,0.3721,0.2632,0.0645
Lulesh,0.444,0.576,0.298,0.320,0.258,0.376,0.0174,0.0005,0.0139
Hotspot,0.699,0.738,0.451,0.145,0.222,0.379,0.0015,0.0936,0.0246
Bfs-rodinia,0.700,0.619,0.252,0.266,0.048,0.389,0.0066,0.0002,0.1163
Nw,0.619,0.637,0.195,0.212,0.185,0.443,0.0003,0.0003,0.0666
Pathfinder,0.797,0.554,0.149,0.104,0.055,0.748,0.0590,0.0020,0.4802
