Token,Correlation
reached,0.7351081917002309
neighbor,0.6570985649280037
second,0.6570985649280037
neighbors,0.6570985649280037
storage,0.5646724016017223
reset,0.5533381875707694
software,0.5450070623815023
www,0.5450070623815023
http,0.5450070623815023
purpose,0.5450070623815023
org,0.5450070623815023
licenses,0.5450070623815023
warranty,0.5450070623815023
2010,0.5450070623815023
merchantability,0.5450070623815023
files,0.5306169370545866
deallocation,0.5306169370545866
particular,0.5306169370545866
university,0.5169482297286897
allocated,0.5169482297286896
cuda,0.5041088114523735
write,0.49426293622869427
center,0.48820393609104556
globally,0.4882039360910455
debug,0.4882039360910455
general,0.4882039360910455
energy,0.46667876868909525
kinetic,0.46667876868909525
initialize,0.4499943664729983
info,0.4475890999398822
vector,0.44391718424636717
program,0.4334226881648928
maximum,0.4297496145363767
public,0.4227725305659052
setup,0.41068240702473696
initial,0.39804295943151347
2f,0.39308477608034853
defined,0.38978305260511414
level,0.3852388025018776
handle,0.38013893702599605
term,0.3762276845208573
compute,0.36308558324859946
copyright,0.35058889546469896
get_time,0.3470501778606934
simulation,0.3470501778606934
add,0.34201548756335076
cleanup,0.3247788976532782
available,0.3238535573573241
endif,0.30360058930056394
edu,0.30264705687555354
ret,0.30264705687555354
cs,0.30264705687555354
nan,0.2978821982857834
timing,0.27788089381291436
step,0.2744310725305556
start,0.27390634772648187
secs,0.27075799890203955
sizeof,0.2576848264824218
clinkflags,0.24963080567112728
cflags,0.24963080567112728
passed_verification,0.24963080567112728
clink,0.24963080567112728
50,0.24963080567112728
mops,0.24963080567112728
c_lib,0.24963080567112728
c_inc,0.24963080567112728
1d,0.2458439305850968
forward,0.2458439305850968
n1,0.24242285948205866
n2,0.24242285948205866
shared,0.2371756114413215
n3,0.23608740974464607
routine,0.2319438171674913
timers,0.22933055390721288
unknown,0.22563166575169963
option,0.22423997557408945
npbparams,0.20630895468693888
t_total,0.20630895468693888
read,0.2054301009447585
generate,0.19040407932561096
null,0.18396452792474152
static,0.18003678477639803
tree,0.17919492907096088
end,0.17690798196956153
file,0.17525808456062253
format,0.17460683682613543
register,0.1716211788989
warning,0.1693490538472817
allocate,0.16844331736421878
total,0.1667920695087279
free,0.16492570967809428
rb,0.163290053709633
strcpy,0.163290053709633
dim,0.163290053709633
generated,0.163290053709633
12e,0.16329005370963298
false,0.16225054834347546
c_print_results,0.1616152396547058
npb,0.1616152396547058
included,0.1420835532278625
temporary,0.1420835532278625
defaults,0.1415533907158182
compiled,0.1415533907158182
parameter,0.13770014391099022
version,0.13700521551999173
code,0.13575506015489336
conditions,0.1337524280385955
64,0.1336685374785062
cc,0.13133692099458585
true,0.12881360346326257
eta,0.1281553095363837
arguments,0.12769342790094676
computation,0.11936230271167977
array,0.10756858483511265
class,0.10600596004790429
t2,0.10206609557912585
t1,0.10206609557912585
t3,0.10206609557912585
different,0.09156663958021627
exp,0.09133942707505446
stdout,0.08755255198902398
given,0.08528042693740576
dist,0.08528042693740576
nj,0.08528042693740576
opening,0.08528042693740576
l2,0.08528042693740576
barrier,0.08528042693740576
creates,0.08528042693740576
reduction,0.08528042693740576
location,0.08528042693740576
perform,0.08424907141319368
2d,0.08304617063664779
i1,0.07724952620514888
i2,0.07724952620514888
14,0.07694930174813874
processor,0.07694930174813874
multiplication,0.07694930174813874
3d,0.07694930174813874
sp,0.07694930174813874
complete,0.07694930174813874
r1,0.07694930174813874
algorithm,0.07694930174813874
r2,0.07694930174813874
k2,0.07694930174813874
k1,0.07694930174813874
3f,0.07576104160579877
const,0.07451092217846823
results,0.07406791474694671
sizes,0.06998145158984272
pages,0.06786080154166568
random,0.06600523274951076
niter,0.06034335246847781
00,0.058796179747576234
cases,0.058796179747576234
npb3,0.051796634539531455
optype,0.051796634539531455
mem,0.049887667664610204
timer,0.049351605426846856
parameters,0.04700357816904269
typedef,0.04551612316369322
execution,0.04513955102548295
npbversion,0.04315883640610359
timer_read,0.04315883640610359
compiletime,0.04315883640610359
exact,0.04097915558164406
forcing,0.04097915558164406
touch,0.04097915558164406
t_rhs,0.04097915558164406
t_rhsx,0.04097915558164406
t_rhsz,0.04097915558164406
t_rhsy,0.04097915558164406
test,0.039879085109602745
pragma,0.03936877434735043
private,0.03862612587751062
domain,0.03832317587062818
number,0.03771727585686328
need,0.03760366960428238
data,0.036870794015810296
randomly,0.036524899540161034
verify,0.03419548202685497
01,0.03397961037359927
iz,0.03397961037359927
6f,0.03397961037359927
provided,0.03397961037359927
including,0.03397961037359927
24,0.03377892576739161
numbers,0.03305941950104585
tolerance,0.030787294449427557
verification,0.029909313832202068
timer_start,0.029649936439965746
failed,0.029649936439965746
20,0.029649936439965746
benchmarks,0.029649936439965746
timer_clear,0.029649936439965746
approximate,0.02952535433211622
used,0.025675013083286444
known,0.02544780057812461
fluxes,0.02544780057812461
flux,0.02544780057812461
grid_points,0.02544780057812461
failure,0.02544780057812461
factors,0.02544780057812461
linear,0.02544780057812461
kp1,0.02544780057812461
face,0.02544780057812461
km1,0.02544780057812461
jp1,0.02544780057812461
grids,0.02544780057812461
gridsize,0.02544780057812461
no_time_steps,0.02544780057812461
hand,0.02544780057812461
im1,0.02544780057812461
niter_default,0.02544780057812461
imaxp,0.02544780057812461
initializes,0.02544780057812461
initializing,0.02544780057812461
interpolated,0.02544780057812461
ip1,0.02544780057812461
ix,0.02544780057812461
jm1,0.02544780057812461
jmax,0.02544780057812461
jmaxp,0.02544780057812461
imax,0.02544780057812461
rms,0.02544780057812461
overkill,0.02544780057812461
xsolve,0.02544780057812461
xcrref,0.02544780057812461
xcrdif,0.02544780057812461
xcr,0.02544780057812461
xceref,0.02544780057812461
xcedif,0.02544780057812461
xce,0.02544780057812461
x_solve,0.02544780057812461
ws,0.02544780057812461
wp1,0.02544780057812461
wm1,0.02544780057812461
west,0.02544780057812461
vp1,0.02544780057812461
vm1,0.02544780057812461
vijk,0.02544780057812461
variable,0.02544780057812461
um1,0.02544780057812461
uijk,0.02544780057812461
xi,0.02544780057812461
xxcon1,0.02544780057812461
u_exact,0.02544780057812461
xxcon2,0.02544780057812461
zzcon4,0.02544780057812461
zzcon3,0.02544780057812461
zzcon2,0.02544780057812461
zzcon1,0.02544780057812461
zsolve,0.02544780057812461
zsol,0.02544780057812461
z_solve,0.02544780057812461
yycon5,0.02544780057812461
yycon4,0.02544780057812461
yycon3,0.02544780057812461
yycon2,0.02544780057812461
yycon1,0.02544780057812461
ysolve,0.02544780057812461
y_solve,0.02544780057812461
xxcon5,0.02544780057812461
xxcon4,0.02544780057812461
xxcon3,0.02544780057812461
ue,0.02544780057812461
tz3,0.02544780057812461
peta,0.02544780057812461
starters,0.02544780057812461
solve,0.02544780057812461
simple,0.02544780057812461
set_constants,0.02544780057812461
rhsz,0.02544780057812461
rhsx,0.02544780057812461
rhs_norm,0.02544780057812461
rho_inv,0.02544780057812461
rho_i,0.02544780057812461
residuals,0.02544780057812461
reinitialize,0.02544780057812461
redist2,0.02544780057812461
redist1,0.02544780057812461
qs,0.02544780057812461
pzeta,0.02544780057812461
pxi,0.02544780057812461
problem_size,0.02544780057812461
pface,0.02544780057812461
square,0.02544780057812461
steps,0.02544780057812461
tz2,0.02544780057812461
sub,0.02544780057812461
tz1,0.02544780057812461
ty3,0.02544780057812461
ty2,0.02544780057812461
ty1,0.02544780057812461
tx3,0.02544780057812461
tx2,0.02544780057812461
tx1,0.02544780057812461
tri,0.02544780057812461
transfinite,0.02544780057812461
thing,0.02544780057812461
t_zsolve,0.02544780057812461
t_ysolve,0.02544780057812461
t_xsolve,0.02544780057812461
t_rdis2,0.02544780057812461
t_rdis1,0.02544780057812461
t_add,0.02544780057812461
substitution,0.02544780057812461
exists,0.02544780057812461
zzcon5,0.02544780057812461
exact_solution,0.02544780057812461
dz1,0.02544780057812461
dtemp,0.02544780057812461
dtdssp,0.02544780057812461
dy4,0.02544780057812461
dy4ty1,0.02544780057812461
dy5,0.02544780057812461
dt_default,0.02544780057812461
dt,0.02544780057812461
dssp,0.02544780057812461
dy5ty1,0.02544780057812461
dymax,0.02544780057812461
do_not_allocate_arrays_with_dynamic_memory_and_as_single_dimension,0.02544780057812461
bt,0.02544780057812461
dnzm1,0.02544780057812461
dz1tz1,0.02544780057812461
dz2,0.02544780057812461
dnym1,0.02544780057812461
dz2tz1,0.02544780057812461
dz3,0.02544780057812461
dz3tz1,0.02544780057812461
dnxm1,0.02544780057812461
dissipation,0.02544780057812461
differences,0.02544780057812461
dy3ty1,0.02544780057812461
dy3,0.02544780057812461
408x408x408,0.02544780057812461
dtpp,0.02544780057812461
dx4tx1,0.02544780057812461
dx3,0.02544780057812461
dx2tx1,0.02544780057812461
dx5,0.02544780057812461
dx2,0.02544780057812461
dx1tx1,0.02544780057812461
dx1,0.02544780057812461
dx5tx1,0.02544780057812461
dttz2,0.02544780057812461
dttz1,0.02544780057812461
dtty2,0.02544780057812461
64x64x64,0.02544780057812461
dtty1,0.02544780057812461
dxmax,0.02544780057812461
dy1,0.02544780057812461
dy1ty1,0.02544780057812461
4dx,0.02544780057812461
dy2,0.02544780057812461
dttx2,0.02544780057812461
dttx1,0.02544780057812461
dy2ty1,0.02544780057812461
dx3tx1,0.02544780057812461
dz4,0.02544780057812461
dz4tz1,0.02544780057812461
